,primaryLanguage,topics_array,count
230,ASL,hackintosh,318
432,ASL,opencore,251
357,ASL,macos,144
636,ActionScript,actionscript,105
644,ActionScript,adobe-air,51
796,ActionScript,flash,39
1169,Arduino,arduino,191
1358,Arduino,esp8266,59
1472,Arduino,iot,20
2324,Assembly,assembly,662
2340,Assembly,assembly-language,188
2305,Assembly,asm,175
6255,Astro,astro,601
7510,Astro,tailwindcss,215
6346,Astro,blog,183
7801,AutoHotkey,autohotkey,350
7719,AutoHotkey,ahk,151
8980,AutoHotkey,windows,102
13327,Batchfile,windows,377
9415,Batchfile,batch,195
9431,Batchfile,batch-script,187
14139,Blade,laravel,352
14443,Blade,php,146
14273,Blade,livewire,52
20311,C,c,7447
37238,C,linux,2377
27682,C,esp32,1163
71547,C#,csharp,10340
108787,C#,unity,6855
74639,C#,dotnet,6468
125878,C++,cpp,10449
117269,C++,arduino,4300
121724,C++,c-plus-plus,3210
180503,CMake,cmake,428
180631,CMake,cpp,215
182015,CMake,ros,202
186850,CSS,css,3481
192728,CSS,javascript,2574
191715,CSS,html,2132
205141,Clojure,clojure,1886
205193,Clojure,clojurescript,704
207504,Clojure,reagent,126
208839,CoffeeScript,coffeescript,192
208659,CoffeeScript,atom,138
209378,CoffeeScript,javascript,82
210627,Common Lisp,common-lisp,535
211114,Common Lisp,lisp,229
210636,Common Lisp,compiler,21
212263,Crystal,crystal,834
212277,Crystal,crystal-lang,183
212278,Crystal,crystal-language,102
214189,Cuda,cuda,357
214454,Cuda,gpu,151
214163,Cuda,cpp,44
215748,D,dlang,350
215677,D,d,178
215782,D,dub,32
221931,Dart,flutter,12260
219908,Dart,dart,6827
217264,Dart,android,2374
234567,Dockerfile,docker,3226
234634,Dockerfile,docker-image,800
234598,Dockerfile,docker-compose,504
242050,EJS,nodejs,211
241502,EJS,ejs,118
241552,EJS,express,109
242607,Eagle,arduino,18
242771,Eagle,pcb,16
242820,Eagle,sparkfun-products,13
244278,Elixir,elixir,2967
246371,Elixir,phoenix,584
244305,Elixir,elixir-lang,512
248537,Elm,elm,707
248561,Elm,elm-lang,118
248696,Elm,game,47
250359,Emacs Lisp,emacs,2020
250392,Emacs Lisp,emacs-lisp,562
251356,Emacs Lisp,org-mode,252
252871,Erlang,erlang,763
252819,Erlang,elixir,92
253082,Erlang,hacktoberfest,51
254875,F#,fsharp,612
254697,F#,dotnet,154
254795,F#,fable,128
257074,Fortran,fortran,539
257098,Fortran,fortran-package-manager,139
258246,Fortran,python,65
259947,GDScript,godot,1717
259973,GDScript,godot-engine,869
259890,GDScript,gdscript,489
261935,GLSL,glsl,119
262441,GLSL,shaders,108
262429,GLSL,shader,73
280937,Go,golang,25258
280042,Go,go,17227
287172,Go,kubernetes,3907
312855,Groovy,groovy,222
312818,Groovy,gradle-plugin,191
312805,Groovy,gradle,172
317817,HCL,terraform,2552
314414,HCL,aws,1336
316390,HCL,kubernetes,581
342013,HTML,javascript,5192
339498,HTML,html,4521
328542,HTML,css,4344
370660,Haskell,haskell,2116
370698,Haskell,haskell-library,149
370370,Haskell,functional-programming,145
374039,Haxe,haxe,494
374060,Haxe,haxeflixel,63
374322,Haxe,openfl,52
404137,Java,java,25050
376849,Java,android,12237
429727,Java,spring-boot,5287
494014,JavaScript,javascript,32217
525587,JavaScript,react,22057
512165,JavaScript,nodejs,18524
560606,Jinja,ansible,692
560632,Jinja,ansible-role,224
561555,Jinja,kubernetes,94
565936,Julia,julia,2316
565945,Julia,julia-language,364
566370,Julia,machine-learning,222
602001,Jupyter Notebook,python,8940
593255,Jupyter Notebook,machine-learning,8482
580102,Jupyter Notebook,deep-learning,6864
625698,Kotlin,kotlin,11189
614779,Kotlin,android,10456
625015,Kotlin,jetpack-compose,2554
637362,Logos,ios,97
637386,Logos,jailbreak,81
637489,Logos,tweak,74
643239,Lua,lua,3690
644298,Lua,neovim,2769
644329,Lua,neovim-plugin,1741
655309,MATLAB,matlab,2273
655148,MATLAB,machine-learning,359
654131,MATLAB,image-processing,292
662083,MDX,nextjs,171
661152,MDX,blog,153
662344,MDX,react,153
664498,Makefile,docker,332
666048,Makefile,kubernetes,148
666424,Makefile,makefile,135
670156,Mathematica,mathematica,147
670640,Mathematica,wolfram-language,57
670321,Mathematica,physics,24
672177,Nim,nim,907
672183,Nim,nim-lang,325
672184,Nim,nim-language,64
674427,Nix,nix,1044
674469,Nix,nixos,820
673746,Nix,dotfiles,391
676771,OCaml,ocaml,918
677141,OCaml,reasonml,166
675486,OCaml,bucklescript,81
681272,Objective-C,ios,1843
682778,Objective-C,objective-c,1541
682039,Objective-C,macos,471
686356,OpenSCAD,openscad,127
685935,OpenSCAD,3d-printing,91
685931,OpenSCAD,3d-models,34
715286,PHP,php,18987
706501,PHP,laravel,8612
729724,PHP,wordpress,3261
732256,PLpgSQL,postgresql,197
732456,PLpgSQL,sql,113
731665,PLpgSQL,database,73
733819,Pascal,delphi,1241
736020,Pascal,pascal,615
735193,Pascal,lazarus,318
741050,Perl,perl,688
739697,Perl,hacktoberfest,112
741080,Perl,perl5,106
747980,PowerShell,powershell,2295
750328,PowerShell,windows,660
748032,PowerShell,powershell-script,367
751234,Processing,processing,173
750993,Processing,generative-art,37
750762,Processing,arduino,29
751849,PureScript,purescript,238
751686,PureScript,halogen,24
751648,PureScript,functional-programming,21
876860,Python,python,65386
878225,Python,python3,15914
790955,Python,deep-learning,14600
929820,QML,qml,263
929845,QML,qt,160
929860,QML,qt5,87
940809,R,r,5170
941580,R,rstats,1791
940836,R,r-package,1440
945103,Racket,racket,385
945158,Racket,scheme,27
945109,Racket,racket-lang,26
945719,Rich Text Format,hackintosh,79
945460,Rich Text Format,clover,34
945863,Rich Text Format,macos,31
947460,Roff,python,24
946742,Roff,docker,20
947118,Roff,linux,19
961239,Ruby,ruby,6790
960307,Ruby,rails,2478
961355,Ruby,ruby-on-rails,1033
989031,Rust,rust,18755
969935,Rust,cli,1756
989163,Rust,rust-lang,1717
998019,SCSS,css,480
1001438,SCSS,scss,350
1001378,SCSS,sass,346
1007766,Scala,scala,2918
1008282,Scala,spark,521
1004966,Scala,functional-programming,284
1010070,Scheme,scheme,201
1009721,Scheme,guile,47
